Timestamp,Message,Mood,Mood Category,Confidence,Intensity,Reply,Lead Score,Summary,Suggested Action,lead_type,estimated_revenue
2025-07-16 15:02:04,"Hi! Iâ€™m really impressed by your service and want to know more about your premium plan.
",ğŸ˜² Surprised,neutral,96.3,medium,Thanks for your message. How can I assist you today? What particular aspect of our product/service interests you most?,ğŸŸ  Warm,Inquired about pricing.,Send pricing details,warm,5000.0
2025-07-16 15:02:48,"Hi! Iâ€™m really impressed by your service and want to know more about your premium plan.
",ğŸ˜² Surprised,neutral,96.3,medium,Thanks for your message. How can I assist you today? What particular aspect of our product/service interests you most?,ğŸŸ  Warm,Inquired about pricing.,Send pricing details,warm,5000.0
2025-07-16 15:05:23,"Hi! Iâ€™m really impressed by your service and want to know more about your premium plan.
",ğŸ˜² Surprised,neutral,96.3,medium,Thanks for your message. How can I assist you today? What particular aspect of our product/service interests you most?,ğŸŸ  Warm,Inquired about pricing.,Send pricing details,warm,5000.0
2025-07-16 15:07:17,"Hi! Iâ€™m really impressed by your service and want to know more about your premium plan.
",ğŸ˜² Surprised,neutral,96.3,medium,Thanks for your message. How can I assist you today? What particular aspect of our product/service interests you most?,ğŸŸ  Warm,Inquired about pricing.,Send pricing details,warm,5000.0
2025-07-16 15:09:17,Hey! I'm really excited about your new product launch!,ğŸ˜Š Happy,happy,91.42,medium,That's wonderful to hear! I'm excited to assist you today. What particular aspect of our product/service interests you most?,ğŸŸ  Warm,General inquiry.,No action needed,warm,5000.0
2025-07-16 15:09:31,I've been trying to reach someone for hours and no one is responding,ğŸ˜¢ Sad,sad,76.46,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,General inquiry.,No action needed,cold,0.0
2025-07-16 15:09:49,I'm really disappointed with my recent experience,ğŸ˜¢ Sad,sad,91.83,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,Expressed dissatisfaction.,Escalate to customer success team,cold,0.0
2025-07-16 15:10:35,oh my god ! iam really very very excited,ğŸ˜² Surprised,neutral,77.47,high,Thank you for reaching out. I'm here to help with whatever you need. What can I help you with today?,ğŸŸ¡ Medium,General inquiry.,No action needed,cold,0.0
2025-07-16 21:24:59,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-16 21:26:21,I'm really disappointed with my recent experience,ğŸ˜¢ Sad,sad,91.83,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,Expressed dissatisfaction.,Escalate to customer success team,,
2025-07-16 21:44:35,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-16 21:45:40,I'm really disappointed with my recent experience,ğŸ˜¢ Sad,sad,91.83,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,Expressed dissatisfaction.,Escalate to customer success team,,
2025-07-16 21:48:20,I'm really disappointed with my recent experience,ğŸ˜¢ Sad,sad,91.83,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,Expressed dissatisfaction.,Escalate to customer success team,,
2025-07-16 22:06:38,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-16 22:06:42,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-16 22:07:28,This looks amazing! I love what you guys are doing,ğŸ˜Š Happy,happy,72.24,medium,That's wonderful to hear! I'm excited to assist you today. What brings you here today? I'm ready to assist!,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-16 22:09:09,"Hi team,
Iâ€™ve been following your product for a while now, and Iâ€™m genuinely impressed with the features you offer â€” especially the automation part. However, Iâ€™m a bit hesitant to proceed because Iâ€™m not sure how well it integrates with our existing CRM and whether your onboarding support is robust enough.

Also, the pricing feels a bit high for our current budget, considering weâ€™re a startup. That said, weâ€™re actively exploring solutions this week and Iâ€™d appreciate it if you could share a demo link or maybe offer a limited-time discount to help us get started.

I really want to make this work, so looking forward to hearing back soon!",ğŸ˜¨ Fearful,neutral,77.63,high,Thank you for reaching out. I'm here to help with whatever you need. Would you like to discuss our pricing options and find something that fits your budget?,ğŸŸ¡ Medium,Inquired about pricing. Requested a demo. Reported a problem.,Send pricing details,,
2025-07-16 22:09:56,"Hi team,
Iâ€™ve been following your product for a while now, and Iâ€™m genuinely impressed with the features you offer â€” especially the automation part. However, Iâ€™m a bit hesitant to proceed because Iâ€™m not sure how well it integrates with our existing CRM and whether your onboarding support is robust enough.

Also, the pricing feels a bit high for our current budget, considering weâ€™re a startup. That said, weâ€™re actively exploring solutions this week and Iâ€™d appreciate it if you could share a demo link or maybe offer a limited-time discount to help us get started.

I really want to make this work, so looking forward to hearing back soon!",ğŸ˜¨ Fearful,neutral,77.63,high,Thank you for reaching out. I'm here to help with whatever you need. Would you like to discuss our pricing options and find something that fits your budget?,ğŸŸ¡ Medium,Inquired about pricing. Requested a demo. Reported a problem.,Send pricing details,,
2025-07-16 22:18:50,I'm really disappointed with my recent experience,ğŸ˜¢ Sad,sad,91.83,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,Expressed dissatisfaction.,Escalate to customer success team,,
2025-07-16 22:20:10,Hey! I'm really excited about your new product launch!,ğŸ˜Š Happy,happy,91.42,medium,That's wonderful to hear! I'm excited to assist you today. What particular aspect of our product/service interests you most?,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-16 22:36:18,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-16 22:48:14,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 12:13:48,Hey! I'm really excited about your new product launch!,ğŸ˜Š Happy,happy,91.42,medium,That's wonderful to hear! I'm excited to assist you today. What particular aspect of our product/service interests you most?,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-17 12:27:26,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 12:36:16,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 12:42:38,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 12:43:01,I'm really disappointed with my recent experience,ğŸ˜¢ Sad,sad,91.83,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,Expressed dissatisfaction.,Escalate to customer success team,,
2025-07-17 12:43:07,Can you tell me about your pricing plans?,ğŸ˜ Neutral,neutral,82.8,low,Hello! How can I help you today? What can I help you with today?,ğŸŸ  Warm,Inquired about pricing.,Send pricing details,,
2025-07-17 12:46:48,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 12:51:17,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 12:58:52,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 13:00:18,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 13:00:30,This looks amazing! I love what you guys are doing,ğŸ˜Š Happy,happy,72.24,medium,That's wonderful to hear! I'm excited to assist you today. What brings you here today? I'm ready to assist!,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-17 13:00:36,Hey! I'm really excited about your new product launch!,ğŸ˜Š Happy,happy,91.42,medium,That's wonderful to hear! I'm excited to assist you today. What particular aspect of our product/service interests you most?,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-17 13:01:46,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 13:06:38,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 13:06:47,I'm really disappointed with my recent experience,ğŸ˜¢ Sad,sad,91.83,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,Expressed dissatisfaction.,Escalate to customer success team,,
2025-07-17 13:10:26,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 13:13:58,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 13:14:04,This looks amazing! I love what you guys are doing,ğŸ˜Š Happy,happy,72.24,medium,That's wonderful to hear! I'm excited to assist you today. What brings you here today? I'm ready to assist!,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-17 13:14:39,I'm really disappointed with my recent experience,ğŸ˜¢ Sad,sad,91.83,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,Expressed dissatisfaction.,Escalate to customer success team,,
2025-07-17 13:22:07,Hey! I'm really excited about your new product launch!,ğŸ˜Š Happy,happy,91.42,medium,That's wonderful to hear! I'm excited to assist you today. What particular aspect of our product/service interests you most?,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-17 13:33:38,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 13:33:57,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 13:36:15,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 13:39:01,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 13:44:40,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 13:44:48,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 19:27:37,iam not going to work with your company anymore!,ğŸ˜¢ Sad,sad,68.15,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 19:30:06,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 19:35:51,Hey! I'm really excited about your new product launch!,ğŸ˜Š Happy,happy,91.42,medium,That's wonderful to hear! I'm excited to assist you today. What particular aspect of our product/service interests you most?,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-17 19:36:40,Hey! I'm really excited about your new product launch!,ğŸ˜Š Happy,happy,91.42,medium,That's wonderful to hear! I'm excited to assist you today. What particular aspect of our product/service interests you most?,ğŸ”¥ Hot,General inquiry.,No action needed,,
2025-07-17 19:37:13,This looks amazing! I love what you guys are doing,ğŸ˜Š Happy,happy,72.24,medium,That's wonderful to hear! I'm excited to assist you today. What brings you here today? I'm ready to assist!,ğŸ”¥ Hot,General inquiry.,No action needed,,
2025-07-17 19:37:24,Can you tell me about your pricing plans?,ğŸ˜ Neutral,neutral,82.8,low,Hello! How can I help you today? What can I help you with today?,ğŸŸ  Warm,Inquired about pricing.,Send pricing details,,
2025-07-17 19:41:43,Hey! I'm really excited about your new product launch!,ğŸ˜Š Happy,happy,91.42,medium,That's wonderful to hear! I'm excited to assist you today. What particular aspect of our product/service interests you most?,ğŸ”¥ Hot,General inquiry.,No action needed,,
2025-07-17 19:41:55,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-17 23:22:06,Hey! I'm really excited about your new product launch!,ğŸ˜Š Happy,happy,91.42,medium,That's wonderful to hear! I'm excited to assist you today. What particular aspect of our product/service interests you most?,ğŸ”¥ Hot,General inquiry.,No action needed,,
2025-07-17 23:22:19,I've been trying to reach someone for hours and no one is responding,ğŸ˜¢ Sad,sad,76.46,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-18 14:52:18,"This is absolutely terrible service, I'm furious right now!!!",ğŸ˜  Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-18 15:08:15,I've been trying to reach someone for hours and no one is responding,ğŸ˜¢ Sad,sad,76.46,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-18 15:08:45,I've been trying to reach someone for hours and no one is responding,ğŸ˜¢ Sad,sad,76.46,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-18 15:27:39,I'm really disappointed with my recent experience. Expected much better.,ğŸ˜¢ Sad,sad,88.77,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,Expressed dissatisfaction.,Escalate to customer success team,,
2025-07-18 15:29:10,I've been trying to reach someone for hours and no one is responding. What's going on?,ğŸ˜² Surprised,neutral,58.78,medium,Thanks for your message. How can I assist you today? What can I help you with today?,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-18 15:53:07,Hey! I'm really excited about your new product launch! This looks amazing!,ğŸ˜Š Happy,happy,86.8,medium,That's wonderful to hear! I'm excited to assist you today. What particular aspect of our product/service interests you most?,ğŸ”¥ Hot,General inquiry.,No action needed,,
2025-07-18 15:57:38,I'm really disappointed with my recent experience. Expected much better.,ğŸ˜¢ Sad,sad,88.77,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,â„ï¸ Cold,Expressed dissatisfaction.,Escalate to customer success team,,
2025-07-18 15:58:11,I've been trying to reach someone for hours and no one is responding. What's going on?,ğŸ˜² Surprised,neutral,58.78,medium,Thanks for your message. How can I assist you today? What can I help you with today?,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-18 15:58:25,This is absolutely terrible service! I'm furious and want my money back right now!,ğŸ˜  Angry,angry,95.2,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-18 16:13:14,This is absolutely terrible service! I'm furious and want my money back right now!,ğŸ˜  Angry,angry,95.2,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-18 16:21:34,I've been trying to reach someone for hours and no one is responding. What's going on?,ğŸ˜² Surprised,neutral,58.78,medium,Thanks for your message. How can I assist you today? What can I help you with today?,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-18 16:23:53,URGENT: I need help immediately! My account has been compromised!,ğŸ˜¨ Fearful,neutral,56.45,medium,Thanks for your message. How can I assist you today? What specific issue are you experiencing? I'm here to help resolve it.,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-18 16:24:48,URGENT: I need help immediately! My account has been compromised!,ğŸ˜¨ Fearful,neutral,56.45,medium,Thanks for your message. How can I assist you today? What specific issue are you experiencing? I'm here to help resolve it.,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-19 10:21:01,"iam not going to work for you anymore , my sales are going downnn!!!",ğŸ˜¢ Sad,sad,93.25,high,I'm really sorry to hear you're going through this. I'm here to support you in any way I can. What can I help you with today?,â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-19 10:22:20,This is absolutely terrible service! I'm furious and want my money back right now!,ğŸ˜  Angry,angry,95.2,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-19 10:23:33,I'm extremely disappointed with your service!,ğŸ˜¢ Sad,sad,70.38,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What particular aspect of our product/service interests you most?,â„ï¸ Cold,Expressed dissatisfaction.,Escalate to customer success team,,
2025-07-19 11:32:33,I've been trying to reach someone for hours and no one is responding. What's going on?,ğŸ˜² Surprised,neutral,58.78,medium,Thanks for your message. How can I assist you today? What can I help you with today?,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-19 11:33:43,URGENT: I need help immediately! My account has been compromised!,ğŸ˜¨ Fearful,neutral,56.45,medium,Thanks for your message. How can I assist you today? What specific issue are you experiencing? I'm here to help resolve it.,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-19 15:46:12,I've been trying to reach someone for hours and no one is responding. What's going on?,ğŸ˜² Surprised,neutral,58.78,medium,Thanks for your message. How can I assist you today? What can I help you with today?,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-19 15:47:53,I've been trying to reach someone for hours and no one is responding. What's going on?,ğŸ˜² Surprised,neutral,58.78,medium,Thanks for your message. How can I assist you today? What can I help you with today?,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-19 16:08:01,URGENT: I need help immediately! My account has been compromised!,ğŸ˜¨ Fearful,neutral,56.45,medium,Thanks for your message. How can I assist you today? Can you describe the issue in more detail so I can guide you properly?,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-19 16:10:32,I've been trying to reach someone for hours and no one is responding. What's going on?,ğŸ˜² Surprised,neutral,58.78,medium,Thanks for your message. How can I assist you today? Could you please share more details so I can assist you better?,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-19 16:10:45,This is incredible! I love what you guys are doing. Keep up the great work!,ğŸ˜Š Happy,happy,83.84,medium,That's wonderful to hear! I'm excited to assist you today. Nice to meet you! What would you like assistance with today?,ğŸ”¥ Hot,General inquiry.,No action needed,,
2025-07-19 16:27:04,This is absolutely terrible service! I'm furious and want my money back right now!,ğŸ˜  Angry,angry,95.2,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. Is there a specific feature or service you're interested in?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-19 17:06:19,This is incredible! I love what you guys are doing. Keep up the great work!,ğŸ˜Š Happy,happy,83.84,medium,That's wonderful to hear! I'm excited to assist you today. What brings you here today? I'm ready to assist!,ğŸ”¥ Hot,General inquiry.,No action needed,,
2025-07-19 17:33:07,This is incredible! I love what you guys are doing. Keep up the great work!,ğŸ˜Š Happy,happy,83.84,medium,That's wonderful to hear! I'm excited to assist you today. What brings you here today? I'm ready to assist!,ğŸ”¥ Hot,General inquiry.,No action needed,,
2025-07-19 17:51:05,Hey! I'm really excited about your new product launch! This looks amazing!,ğŸ˜Š Happy,happy,86.8,medium,That's wonderful to hear! I'm excited to assist you today. What particular aspect of our product/service interests you most?,ğŸ”¥ Hot,General inquiry.,No action needed,,
2025-07-19 17:53:16,URGENT: I need help immediately! My account has been compromised!,ğŸ˜¨ Fearful,neutral,56.45,medium,Thanks for your message. How can I assist you today? What specific issue are you experiencing? I'm here to help resolve it.,ğŸŸ  Warm,General inquiry.,No action needed,,
2025-07-19 17:55:41,This is absolutely terrible service! I'm furious and want my money back right now!,ğŸ˜  Angry,angry,95.2,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",â„ï¸ Cold,General inquiry.,No action needed,,
2025-07-19 17:58:54,Hey! I'm really excited about your new product launch! This looks amazing!,ğŸ˜Š Happy,happy,86.8,medium,That's wonderful to hear! I'm excited to assist you today. What particular aspect of our product/service interests you most?,ğŸ”¥ Hot,General inquiry.,No action needed,,
2025-07-20 08:44:43,This is incredible! I love what you guys are doing. Keep up the great work!,ğŸ˜Š Happy,happy,83.84,medium,That's wonderful to hear! I'm excited to assist you today. What brings you here today? I'm ready to assist!,ğŸ”¥ Hot,General inquiry.,No action needed,,
